2026 디딤수요기도회,,,,,,,,,,,,,
월,분기 주제,수요예배 제목,본문,공동체 기도제목 (4개),개인 기도제목 (4개),2주차 (공동체기도제목),2주차 (개인기도제목),3주차 (공동체기도제목),3주차 (개인기도제목),4주차 (공동체기도제목),4주차 (개인기도제목),5주차 (공동체기도제목),5주차 (개인기도제목)
1월,섬김의 부르심,사랑으로 허리를 동이다,골 3:15–17,"1. 새해를 시작하며 교회가 말씀과 섬김의 방향으로 바로 서게 하소서.
2. 2026년 주제 “섬김으로 하나님 나라를 세우다”가 모든 사역의 중심이 되게 하소서.
3. 교회 안의 모든 리더들이 예수의 섬김을 본받아 낮아지는 리더십을 세우게 하소서.
4. 디딤교회의 예배와 사역이 지역사회를 살리는 복음의 통로가 되게 하소서.","1. 나의 새해가 하나님께 순종으로 시작되게 하소서.
2. 내 가정이 섬김의 공동체로 세워지게 하소서.
3. 일터에서 주님의 마음으로 동료를 섬기게 하소서.
4. 나의 시간과 재능이 하나님 나라를 세우는 도구가 되게 하소서.",,,,,,,,
2월,섬김의 부르심,깨끗한 마음으로 하나님 앞에 서다,시 51:10–12,"1. 하나님 앞에서 형식이 아닌 진실한 회개가 일어나게 하소서
2. 교회 공동체 안에 숨겨진 상처와 죄가 치유되게 하소서
3. 섬김의 사역이 깨끗한 마음에서 시작되게 하소서
4. 사순절을 준비하는 교회가 되게 하소서","1. 내 안에 정결한 마음을 창조하여 주소서
2. 말씀 앞에서 변명하지 않게 하소서
3. 주님과의 관계가 새로워지게 하소서
4. 회개 후에 오는 자유를 누리게 하소서","1. 말과 태도 속에 쌓인 죄성이 씻겨지게 하소서.  
2. 깨어진 관계들이 용서와 화해로 회복되게 하소서.  
3. 공동체 안에 판단이 아니라 긍휼의 마음이 흐르게 하소서.  
4. 섬김이 부담이 아니라 은혜와 기쁨이 되게 하소서.  ","1. 완고해진 마음이 주님 앞에서 부드러워지게 하소서.  
2. 비교와 정죄의 습관을 내려놓게 하소서.  
3. 나 자신을 주님의 시선으로 바라보게 하소서.  
4. 마음 깊은 곳에 참된 평안을 회복하게 하소서.  ","1. 교회의 모든 사역이 하나님의 뜻 안에서 바르게 정렬되게 하소서.  
2. 섬김의 방향이 사람 중심이 아니라 하나님 중심이 되게 하소서.  
3. 리더십 가운데 겸손과 분별력을 부어 주소서.  
4. 말씀과 기도로 다시 중심을 잡는 공동체 되게 하소서.  ","1. 삶의 우선순위를 주님 앞에서 정직하게 점검하게 하소서.  
2. 바쁨 속에서도 하나님을 놓치지 않게 하소서.  
3. 주님이 기뻐하시는 길을 선택할 용기를 주소서.  
4. 하루의 리듬이 하나님 중심으로 회복되게 하소서.  ","1. 다가오는 사순절을 가볍게 여기지 않는 공동체 되게 하소서.  
2. 십자가를 깊이 묵상하며 마음이 낮아지게 하소서.  
3. 고난받는 이웃을 향한 긍휼의 마음을 부어 주소서.  
4. 회개와 결단이 말에 그치지 않고 삶으로 이어지게 하소서.  ","1. 십자가 앞에서 자기를 부인하는 은혜를 주소서.  
2. 불필요한 욕심과 집착을 내려놓게 하소서.  
3. 섬김의 삶을 준비하는 마음을 새롭게 하소서.  
4. 주님과 동행하는 사순절을 맞이하게 하소서. ",,
3월,섬김의 부르심,십자가를 바라보며 달려가라,히 12:1–2,"1. 사순절 기간 동안 교회가 십자가의 섬김을 깊이 묵상하게 하소서.
2. 예배와 기도 가운데 회개의 영을 부어주소서.
3. 고난 속에서도 하나님의 뜻을 신뢰하는 교회가 되게 하소서.
4. 연약한 지체들을 돌보는 참된 사랑의 공동체가 되게 하소서.","1. 내 삶의 고난을 주님의 뜻 안에서 해석하게 하소서.
2. 불평보다 감사로, 원망보다 순종으로 반응하게 하소서.
3. 십자가 앞에서 나를 내려놓고 예수의 마음을 품게 하소서.
4. 주님의 뜻이라면 어디든 순종하게 하소서.","1. 예수님을 바라보며 믿음의 경주를 끝까지 달려가는 교회 되게 하소서.  
2. 우리를 얽매는 죄와 영적 무거움을 내려놓게 하소서.  
3. 사순절 기간 동안 십자가의 길을 진지하게 묵상하게 하소서.  
4. 섬김이 감정이 아니라 믿음의 결단이 되게 하소서.  ","1. 내 삶을 방해하는 죄와 습관을 주님 앞에 내려놓게 하소서.  
2. 십자가 앞에서 나의 시선을 다시 예수님께 고정하게 하소서.  
3. 포기하고 싶은 자리에서 믿음으로 한 걸음 더 나아가게 하소서.  
4. 고난 속에서도 소망을 잃지 않게 하소서.  ","1. 교회 공동체가 높아지려 하지 않고 낮아지는 길을 선택하게 하소서.  
2. 섬김의 자리에서 인정받으려는 마음을 내려놓게 하소서.  
3. 주님의 마음으로 서로를 바라보게 하소서.  
4. 십자가의 정신이 교회의 문화가 되게 하소서.  ","1. 나를 부인하고 주님을 따르는 결단을 하게 하소서.  
2. 자존심과 고집을 십자가 앞에 내려놓게 하소서.  
3. 보이지 않는 섬김에도 기쁨을 주시옵소서.  
4. 낮아짐 속에서 주님을 더 깊이 알게 하소서.  ","1. 고난의 시간에도 믿음을 지키는 공동체 되게 하소서.  
2. 연약한 지체들을 서로 붙들어 주는 교회 되게 하소서.  
3. 고난 속에 있는 성도들을 위로하시고 새 힘을 주소서.  
4. 십자가의 고난을 두려워하지 않는 교회 되게 하소서.  ","1. 어려움 속에서도 하나님을 신뢰하게 하소서.  
2. 불평 대신 기도로 반응하게 하소서.  
3. 고난을 통해 믿음이 정금같이 나오게 하소서.  
4. 주님의 고난에 동참하는 은혜를 주소서. ","1. 십자가의 삶이 일회적 감정이 아니라 삶의 방식이 되게 하소서.  
2. 사순절 이후에도 섬김과 순종이 계속되게 하소서.  
3. 교회가 세상 속에서 십자가의 증인 되게 하소서.  
4. 제자의 길을 함께 걸어가는 공동체 되게 하소서. ","1. 날마다 자기 십자가를 지고 주님을 따르게 하소서.  
2. 편한 길보다 주님의 길을 선택하게 하소서.  
3. 작은 순종을 통해 삶이 변화되게 하소서.  
4. 십자가를 따르는 삶 속에서 참된 생명을 누리게 하소서."
4월,섬김의 훈련,성금요예배로 대체,,"1. 부활의 기쁨이 교회의 모든 사역과 예배에 넘치게 하소서.
2. 교회가 부활의 증인으로 세상 속에서 빛과 소금의 역할을 감당하게 하소서.
3. 부활의 생명으로 섬김의 사명을 감당하게 하소서.
4. 전도와 구제사역을 통해 죽은 영혼이 살아나게 하소서.","1. 내 삶이 부활의 증거가 되게 하소서.
2. 예수님처럼 사랑하고 용서하는 섬김의 제자가 되게 하소서.
3. 내가 있는 자리에서 하나님 나라를 드러내게 하소서.
4. 새로운 달, 새로운 사명으로 다시 일어서게 하소서.","1. 부활의 기쁨이 공동체의 분위기와 언어를 바꾸게 하소서.  
2. 낙심한 심령들이 부활의 소망으로 회복되게 하소서.  
3. 상처 입은 관계들이 부활의 능력으로 치유되게 하소서.  
4. 새가족과 다음세대가 부활의 기쁨을 경험하게 하소서.  ","1. 마음의 무덤에서 일어나 새 생명을 누리게 하소서.  
2. 실패와 좌절을 부활의 소망으로 다시 해석하게 하소서.  
3. 주님 안에서 참된 기쁨을 회복하게 하소서.  
4. 부활의 능력으로 오늘을 살아가게 하소서.  ","1. 부활 신앙이 말에 그치지 않고 삶으로 드러나게 하소서.  
2. 교회의 섬김이 부활의 생명을 전하는 통로가 되게 하소서.  
3. 가정과 일터에서 그리스도의 향기가 나타나게 하소서.  
4. 교회가 지역사회 속에서 소망의 표지가 되게 하소서.  ","1. 부활 신앙으로 삶의 태도가 변화되게 하소서.  
2. 작은 순종 속에서 생명의 역사를 경험하게 하소서.  
3. 나를 통해 다른 이들이 소망을 보게 하소서.  
4. 오늘의 자리에서 부활의 증인으로 살게 하소서.  ","1. 교회가 머무는 공동체가 아니라 보내는 공동체 되게 하소서.  
2. 섬김과 선교의 자리로 담대히 나아가게 하소서.  
3. 부활의 복음을 전할 지혜와 용기를 주소서.  
4. 2026년의 사역이 부활의 능력으로 확장되게 하소서.  ","1. 주님이 보내시는 자리로 기쁨으로 순종하게 하소서.  
2. 나의 일상이 사명의 현장이 되게 하소서.  
3. 두려움보다 믿음으로 한 걸음 내딛게 하소서.  
4. 부활의 생명을 흘려보내는 제자 되게 하소서.  ",,
5월,섬김의 훈련,사랑으로 세워지는 가정과 공동체,골 3:12–14,"1. 가정의 달을 통해 가족이 예배의 중심으로 회복되게 하소서.
2. 세대 간의 관계가 섬김과 사랑으로 새로워지게 하소서.
3. 교회학교와 청소년부, 청년부가 말씀 위에 바로 세워지게 하소서.
4. 지역사회를 향한 사랑의 섬김이 확장되게 하소서.","1. 가정 안에서 먼저 사랑을 실천하게 하소서.
2. 가족 간의 상처가 용서와 화해로 치유되게 하소서.
3. 사랑받기보다 사랑하기를 선택하게 하소서.
4. 사랑으로 복음을 전하는 사람이 되게 하소서.","1. 교회 공동체가 긍휼과 겸손과 온유와 오래 참음으로 세워지게 하소서.  
2. 사랑이 모든 관계를 묶는 띠가 되게 하소서.  
3. 가정과 교회가 서로를 세우는 믿음의 공동체 되게 하소서.  
4. 섬김이 의무가 아니라 사랑의 열매가 되게 하소서.  ","1. 그리스도의 마음을 품고 사람을 대하게 하소서.  
2. 말과 행동에서 사랑이 먼저 나타나게 하소서.  
3. 용서가 필요한 관계에 순종하게 하소서.  
4. 사랑 안에서 성숙한 제자로 자라가게 하소서.  ","1. 모든 가정이 믿음 위에 든든히 세워지게 하소서.  
2. 부부와 부모–자녀 관계에 주님의 사랑이 회복되게 하소서.  
3. 가정이 신앙 교육의 첫 자리로 회복되게 하소서.  
4. 교회가 가정을 세우는 공동체가 되게 하소서.  ","1. 가정 안에서 먼저 섬기는 자 되게 하소서.  
2. 말로 상처 주기보다 살리는 말을 하게 하소서.  
3. 가족을 향한 하나님의 마음을 알게 하소서.  
4. 가정을 통해 하나님 나라를 배우게 하소서.  ","1. 세대 간의 벽이 허물어지고 이해와 존중이 자라게 하소서.  
2. 다음세대가 교회 안에서 사랑받고 자라게 하소서.  
3. 장년과 청년, 다음세대가 서로를 축복하게 하소서.  
4. 믿음의 유산이 다음세대로 잘 이어지게 하소서.  ","1. 다른 세대를 판단하기보다 이해하게 하소서.  
2. 믿음의 본이 되는 삶을 살게 하소서.  
3. 다음세대를 위해 기도하는 마음을 주소서.  
4. 나의 신앙이 누군가의 길잡이가 되게 하소서.  ","1. 교회가 말이 아니라 행동으로 사랑을 보여주게 하소서.  
2. 지역과 이웃을 향한 섬김이 실제로 이어지게 하소서.  
3. 작은 섬김들이 모여 하나님 나라를 세우게 하소서.  
4. 사랑의 실천이 교회의 문화가 되게 하소서.  ","1. 일상 속 작은 섬김을 기쁨으로 감당하게 하소서.  
2. 보이지 않는 자리에서도 충성하게 하소서.  
3. 사랑을 선택하는 용기를 주소서.  
4. 섬김을 통해 주님의 기쁨을 누리게 하소서.  "
6월,섬김의 훈련,성령의 능력으로 증인의 삶,행 1:8,"1. 성령의 능력으로 예배와 공동체가 새로워지게 하소서.
2. 교회가 말씀과 교제, 기도와 나눔으로 하나되게 하소서.
3. 모든 사역이 성령의 인도하심 속에 진행되게 하소서.
4. 섬김의 손길이 지역사회 속으로 확장되게 하소서.","1. 성령께 순종하며 하루를 살게 하소서.
2. 내 안에 있는 은사를 발견하고 섬김에 사용하게 하소서.
3. 성령께서 나를 통해 누군가를 세우게 하소서.
4. 내 삶이 성령의 열매로 가득하게 하소서.","1. 교회가 성령의 인도하심을 분별하며 따르게 하소서.  
2. 인간의 계산보다 하나님의 뜻을 구하게 하소서.  
3. 모든 사역 위에 성령의 지혜와 질서를 부어 주소서.  
4. 성령의 열매가 공동체 안에 풍성히 맺히게 하소서.  ","1. 나의 생각보다 성령의 인도를 신뢰하게 하소서.  
2. 중요한 결정 앞에서 기도로 먼저 반응하게 하소서.  
3. 성령의 책망에도 겸손히 순종하게 하소서.  
4. 삶의 방향을 성령께 맡기게 하소서.  ","1. 교회 안에 성령의 열매가 인격과 관계 속에 나타나게 하소서.  
2. 사랑과 희락과 화평이 공동체의 분위기가 되게 하소서.  
3. 오래 참음과 자비와 양선이 섬김의 토대가 되게 하소서.  
4. 성령의 열매로 교회가 세워지게 하소서.  ","1. 내 삶에 성령의 열매가 자라나게 하소서.  
2. 성급함 대신 오래 참음을 선택하게 하소서.  
3. 말과 행동에서 성령의 성품이 드러나게 하소서.  
4. 섬김 속에서 성령의 열매를 경험하게 하소서. ","1. 교회가 성령 안에서 다시 헌신하게 하소서.  
2. 여름 사역과 다음 사역들을 성령께서 준비하게 하소서.  
3. 각 사람에게 맡기신 사명을 분명히 깨닫게 하소서.  
4. 성령의 능력으로 세상 속에 파송되는 교회 되게 하소서.  ","1. 성령의 부르심에 기쁨으로 응답하게 하소서.  
2. 익숙함보다 순종을 선택하게 하소서.  
3. 나의 은사와 달란트를 주님의 뜻에 사용하게 하소서.  
4. 성령 안에서 헌신의 기쁨을 누리게 하소서.  ",,
7월,섬김의 확장,섬기는 자가 큰 자다,막 10:42–45,"1. 여름 사역(수련회·성경학교 등)이 섬김의 축제가 되게 하소서.
2. 교회 리더십이 섬김의 본이 되게 하소서.
3. 모든 세대가 함께 섬기는 공동체로 성장하게 하소서.
4. 섬김의 기쁨이 교회 안에 회복되게 하소서.","1. 나의 리더십이 섬김으로 드러나게 하소서.
2. 비교나 인정욕을 내려놓고 기쁨으로 봉사하게 하소서.
3. 맡겨진 자리에서 충성하게 하소서.
4. 나를 통해 누군가가 회복되게 하소서.","1. 여름 사역을 준비하는 모든 섬김의 손길 위에 은혜를 주소서.  
2. 사역자와 봉사자들에게 영육의 강건함을 허락하소서.  
3. 다음세대 사역 가운데 성령의 역사하심을 부어 주소서.  
4. 안전과 질서 가운데 사역이 진행되게 하소서.  ","1. 맡겨진 역할을 기쁨으로 감당하게 하소서.  
2. 피곤함 속에서도 주님의 힘을 공급받게 하소서.  
3. 사역 중에 서로를 배려하는 마음을 주소서.  
4. 섬김의 자리가 은혜의 통로가 되게 하소서.  ","1. 바쁨 속에서도 기도와 말씀의 중심을 잃지 않게 하소서.  
2. 비교와 불평이 아니라 감사가 흘러가게 하소서.  
3. 섬김 가운데 마음이 다치지 않도록 보호하여 주소서.  
4. 서로를 세워 주는 말과 태도가 공동체에 가득하게 하소서.  ","1. 섬김 중에 마음이 지치지 않게 하소서.  
2. 불평 대신 감사로 반응하게 하소서.  
3. 나의 한계를 인정하고 주님을 의지하게 하소서.  
4. 섬김 속에서도 주님과의 친밀함을 지키게 하소서. ","1. 여름 사역을 통해 맺힌 열매를 주님께 올려 드리게 하소서.  
2. 일회적 헌신이 아니라 지속적인 섬김으로 이어지게 하소서.  
3. 사역 이후에도 공동체가 하나 되어 세워지게 하소서.  
4. 섬김을 통해 교회가 더욱 성숙해지게 하소서.  ","1. 섬김의 경험을 통해 믿음이 자라게 하소서.  
2. 사역 후에도 초심을 잃지 않게 하소서.  
3. 주님께서 기뻐하시는 삶의 태도를 유지하게 하소서.  
4. 섬김의 삶을 통해 하나님 나라를 보게 하소서.  ",,
8월,섬김의 확장,추수할 일꾼을 보내소서,마 9:35–38,"1. 단기선교와 지역봉사 사역에 성령의 열매가 있게 하소서.
2. 청년·청소년들이 복음의 일꾼으로 일어서게 하소서.
3. 교회가 세상 속에서 복음을 전하는 거룩한 영향력을 가지게 하소서.
4. 작은 섬김이 복음의 문을 여는 도구가 되게 하소서.","1. 복음의 통로로 살기 
2. 이웃 향한 사랑 확장 
3. 섬김이 복음의 문 열게 
4. 담대히 사명지로 가게""","1. 주님께서 보신 추수할 들판을 교회가 함께 보게 하소서.  
2. 많은 일꾼을 보내 달라고 간절히 기도하는 공동체 되게 하소서.  
3. 교회의 모든 섬김이 선교적 시선을 회복하게 하소서.  
4. 여름 사역 이후에도 사명의 불이 꺼지지 않게 하소서. ","1. 주님의 긍휼의 눈으로 이웃을 바라보게 하소서.  
2. 복음을 전할 기회를 분별하게 하소서.  
3. 나를 추수의 일꾼으로 사용하여 주소서.  
4. 삶의 자리에서 선교적 책임을 감당하게 하소서.  ","1. 교회가 자기중심적 시선을 내려놓고 세상을 향해 열리게 하소서.  
2. 지역과 열방을 향한 긍휼의 마음을 부어 주소서.  
3. 선교사들과 선교 사역을 중보하는 교회 되게 하소서.  
4. 복음이 필요한 곳을 민감하게 분별하게 하소서.  ","1. 이웃의 아픔에 무관심하지 않게 하소서.  
2. 나의 시간과 물질을 주님께 드릴 마음을 주소서.  
3. 섬김을 통해 복음이 전해지게 하소서.  
4. 선교적 삶이 특별한 일이 아니라 일상이 되게 하소서.  ","1. 교회가 복음을 부끄러워하지 않게 하소서.  
2. 말과 삶이 일치하는 증인의 모습이 나타나게 하소서.  
3. 전도의 문을 하나님께서 열어 주소서.  
4. 성령의 능력으로 담대히 복음을 전하게 하소서.  ","1. 복음을 전할 용기를 주소서.  
2. 두려움보다 사랑으로 말하게 하소서.  
3. 나의 삶 자체가 복음의 통로 되게 하소서.  
4. 복음을 전하는 기쁨을 경험하게 하소서.  ","1. 여름 사역과 선교를 통해 맺힌 열매를 주님께 올려 드리게 하소서.  
2. 보이는 열매보다 하나님께서 하신 일을 신뢰하게 하소서.  
3. 추수의 기쁨을 공동체가 함께 나누게 하소서.  
4. 다음 계절의 사역을 믿음으로 준비하게 하소서.  ","1. 섬김의 결과를 주님께 맡기게 하소서.  
2. 수고한 자리에서 감사함을 회복하게 하소서.  
3. 낙심보다 소망을 선택하게 하소서.  
4. 추수의 기쁨을 마음 깊이 누리게 하소서. "
9월,섬김의 확장,나를 따르려거든,눅 9:23–24,"1. 제자훈련을 통해 교회가 영적으로 단단해지게 하소서.
2. 섬김의 훈련이 공동체의 체질이 되게 하소서.
3. 가을 사역들이 복음의 결실로 이어지게 하소서.
4. 각 부서의 리더들이 헌신으로 모범을 보이게 하소서.","1. 제자로 부르신 주님께 전심으로 순종하게 하소서.
2. 내 신앙이 훈련과 헌신으로 성장하게 하소서.
3. 포기하지 않는 섬김의 마음을 주소서.
4. 내 십자가를 기쁨으로 지게 하소서.","1. 교회를 가로막는 안일함과 타협을 내려놓게 하소서.  
2. 세상의 가치보다 하나님 나라의 가치를 붙들게 하소서.  
3. 제자도의 길을 방해하는 모든 영적 장애물을 제거하여 주소서.  
4. 서로를 격려하며 끝까지 걸어가게 하소서.  ","1. 제자의 삶을 방해하는 습관과 욕심을 내려놓게 하소서.  
2. 편리함을 우선시하던 태도를 회개하게 하소서.  
3. 주님의 부르심 앞에 즉각 순종하게 하소서.  
4. 믿음의 경주를 포기하지 않게 하소서.  ","1. 말씀을 듣는 데서 멈추지 않고 행하는 공동체 되게 하소서.  
2. 작은 순종들이 모여 교회를 세우게 하소서.  
3. 제자훈련의 열매가 삶의 자리에서 나타나게 하소서.  
4. 순종의 본이 되는 리더십을 세워 주소서.  ","1. 말씀 앞에서 미루지 않고 순종하게 하소서.  
2. 작은 일에도 충성하는 제자 되게 하소서.  
3. 순종을 통해 믿음이 자라게 하소서.  
4. 주님을 닮아 가는 삶의 변화를 경험하게 하소서.  ","1. 시작만 하는 교회가 아니라 끝까지 가는 교회 되게 하소서.  
2. 제자의 길을 함께 걸어가는 동역의 은혜를 주소서.  
3. 하반기 사역 가운데 지속적인 헌신을 허락하소서.  
4. 교회가 제자 삼는 공동체로 더욱 견고히 세워지게 하소서.  ","1. 신앙의 열정이 식지 않게 하소서.  
2. 어려움 속에서도 제자의 길을 포기하지 않게 하소서.  
3. 끝까지 주님을 따르는 믿음을 주소서.  
4. 나의 삶이 또 다른 제자를 세우는 통로 되게 하소서.  ",,
10월,섬김의 열매,감사로 하나님 뜻을 이루다,살전 5:16–18,"1. 추수감사절을 준비하며 감사의 영성을 회복하게 하소서.
2. 교회가 받은 은혜를 나누는 섬김의 공동체가 되게 하소서.
3. 섬김의 열매를 돌아보며 하나님께 영광을 돌리게 하소서.
4. 다음세대가 감사의 신앙을 배우게 하소서.","1. 받은 은혜를 잊지 않고 감사하게 하소서.
2. 작은 일에도 감사로 반응하게 하소서.
3. 섬김을 감사로 드리는 삶이 되게 하소서.
4. 감사의 고백이 나의 예배가 되게 하소서.","1. 올 한 해 하나님께서 베푸신 은혜를 함께 기억하게 하소서.  
2. 크고 작은 응답들을 공동체가 함께 고백하게 하소서.  
3. 고난 속에서도 역사하신 하나님의 손길을 보게 하소서.  
4. 감사가 공동체의 신앙 고백이 되게 하소서.  ","1. 지나온 시간 속에서 하나님의 은혜를 헤아리게 하소서.  
2. 잊고 지냈던 감사의 제목을 다시 떠올리게 하소서.  
3. 아픔의 시간 속에서도 감사할 이유를 발견하게 하소서.  
4. 감사의 고백으로 마음이 새로워지게 하소서.  ","1. 말뿐인 감사가 아니라 삶으로 드려지는 감사 되게 하소서.  
2. 섬김과 나눔이 감사의 표현이 되게 하소서.  
3. 받은 은혜를 흘려보내는 교회 되게 하소서.  
4. 감사가 선교와 구제의 동력이 되게 하소서.","1. 감사의 마음을 행동으로 표현하게 하소서.  
2. 나눔과 섬김으로 은혜에 응답하게 하소서.  
3. 물질과 시간을 감사함으로 드리게 하소서.  
4. 감사의 삶을 통해 하나님을 영화롭게 하게 하소서.  ","1. 지나온 은혜를 붙들고 다가올 길도 하나님께 맡기게 하소서.  
2. 불확실한 미래 앞에서도 감사로 믿음을 고백하게 하소서.  
3. 교회의 다음 걸음을 하나님께서 인도하여 주소서.  
4. 감사함으로 하나님 나라를 기대하게 하소서.  ","1. 앞날을 염려하기보다 하나님을 신뢰하게 하소서.  
2. 감사로 두려움을 이기게 하소서.  
3. 하나님께서 이루실 일을 소망하게 하소서.  
4. 감사의 믿음으로 오늘을 살아가게 하소서.  ",,
